Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,131,20773,10298,6645,1167,3818,602,6657,32299,2172,9984
D:\Luciano\Numerico\MecSol\FluxSol\Src\FluxSol-Solver,131,20773,10298,6645,1167,3818,602,6657,32299,2172,9984
D:\Luciano\Numerico\MecSol\FluxSol\Src\FluxSol-Solver\Analysis,2,108,24,11,0,21,2,63,327,45,208
D:\Luciano\Numerico\MecSol\FluxSol\Src\FluxSol-Solver\Boundary,3,373,193,125,4,91,7,89,444,68,316
D:\Luciano\Numerico\MecSol\FluxSol\Src\FluxSol-Solver\Examples,9,1259,452,392,32,260,23,547,2119,186,868
D:\Luciano\Numerico\MecSol\FluxSol\Src\FluxSol-Solver\Examples\Ex1-Thermal-Single,1,112,42,38,1,18,0,52,199,23,108
D:\Luciano\Numerico\MecSol\FluxSol\Src\FluxSol-Solver\Examples\Ex2-CGNS-Input,1,145,33,29,2,25,0,87,205,23,108
D:\Luciano\Numerico\MecSol\FluxSol\Src\FluxSol-Solver\Examples\Ex3-Conv-Diff-Single,1,216,65,58,4,37,3,114,300,24,116
D:\Luciano\Numerico\MecSol\FluxSol\Src\FluxSol-Solver\Examples\Ex4-Thermal-5Cells,1,123,55,48,4,29,3,39,155,24,113
D:\Luciano\Numerico\MecSol\FluxSol\Src\FluxSol-Solver\Examples\Ex5-CFD-SIMPLE,1,227,94,90,3,48,8,85,442,23,105
D:\Luciano\Numerico\MecSol\FluxSol\Src\FluxSol-Solver\Examples\Ex6-CFD-SIMPLE-cgns,1,328,138,114,16,77,9,113,564,23,105
D:\Luciano\Numerico\MecSol\FluxSol\Src\FluxSol-Solver\Examples\Ex7-UDO-Usage,2,61,16,9,1,15,0,30,119,23,105
D:\Luciano\Numerico\MecSol\FluxSol\Src\FluxSol-Solver\Examples\Ex9-Fluent-Mesh,1,47,9,6,1,11,0,27,135,23,108
D:\Luciano\Numerico\MecSol\FluxSol\Src\FluxSol-Solver\Field,7,1398,603,349,63,266,17,529,2361,159,740
D:\Luciano\Numerico\MecSol\FluxSol\Src\FluxSol-Solver\FiniteVolume,18,3500,1336,848,155,564,124,1600,7934,308,1401
D:\Luciano\Numerico\MecSol\FluxSol\Src\FluxSol-Solver\FiniteVolume\Div,4,708,203,104,24,116,14,389,1905,66,300
D:\Luciano\Numerico\MecSol\FluxSol\Src\FluxSol-Solver\FiniteVolume\Grad,3,374,117,57,11,65,10,192,884,22,100
D:\Luciano\Numerico\MecSol\FluxSol\Src\FluxSol-Solver\FiniteVolume\Laplacian,2,311,144,83,24,50,16,117,655,22,100
D:\Luciano\Numerico\MecSol\FluxSol\Src\FluxSol-Solver\FiniteVolume\Mesh,6,1761,774,564,89,279,78,708,3725,132,601
D:\Luciano\Numerico\MecSol\FluxSol\Src\FluxSol-Solver\Input,3,1269,743,559,88,196,43,330,1268,69,324
D:\Luciano\Numerico\MecSol\FluxSol\Src\FluxSol-Solver\Interpolation,5,509,245,136,25,103,8,161,777,88,400
D:\Luciano\Numerico\MecSol\FluxSol\Src\FluxSol-Solver\Materials,2,279,193,134,13,39,8,47,235,46,216
D:\Luciano\Numerico\MecSol\FluxSol\Src\FluxSol-Solver\Mesh,19,2470,1352,994,185,409,102,709,3864,374,1712
D:\Luciano\Numerico\MecSol\FluxSol\Src\FluxSol-Solver\Model,2,706,295,235,15,198,21,213,861,0,0
D:\Luciano\Numerico\MecSol\FluxSol\Src\FluxSol-Solver\Nastran,21,2738,1714,1072,209,522,116,502,3171,222,1014
D:\Luciano\Numerico\MecSol\FluxSol\Src\FluxSol-Solver\Output,5,1019,601,443,99,176,36,242,1283,66,300
D:\Luciano\Numerico\MecSol\FluxSol\Src\FluxSol-Solver\SistEcuac,2,700,363,233,50,130,21,207,942,46,216
D:\Luciano\Numerico\MecSol\FluxSol\Src\FluxSol-Solver\Solver,5,900,235,157,14,113,24,552,2214,116,507
D:\Luciano\Numerico\MecSol\FluxSol\Src\FluxSol-Solver\Tests,5,252,126,105,2,89,4,37,124,0,0
D:\Luciano\Numerico\MecSol\FluxSol\Src\FluxSol-Solver\Tmp,2,360,194,84,28,86,2,80,530,2,34
D:\Luciano\Numerico\MecSol\FluxSol\Src\FluxSol-Solver\Type,12,2221,1315,629,146,423,33,483,2758,264,1203
D:\Luciano\Numerico\MecSol\FluxSol\Src\FluxSol-Solver\UDO,2,121,47,24,5,23,3,51,269,46,216
D:\Luciano\Numerico\MecSol\FluxSol\Src\FluxSol-Solver\Utils,3,339,155,87,31,54,4,130,501,22,100
D:\Luciano\Numerico\MecSol\FluxSol\Src\FluxSol-Solver\Utils\Searching-Files,1,49,37,23,7,10,1,2,32,0,0
D:\Luciano\Numerico\MecSol\FluxSol\Src\FluxSol-Solver\Variables,1,26,12,10,0,9,2,5,37,0,0
